user_id,product_id,event_timestamp,product_rating
1,1,2021-04-01,4
1,2,2021-04-01,4
1,3,2021-04-01,4
1,4,2021-04-01,4
1,5,2021-04-01,4
2,1,2021-04-01,5
2,2,2021-04-01,5
2,3,2021-04-01,5
2,4,2021-04-01,5
2,5,2021-04-01,5
3,1,2021-04-01,5
3,2,2021-04-01,5
3,3,2021-04-01,5
3,4,2021-04-01,5
3,5,2021-04-01,5
4,1,2021-04-01,1
4,2,2021-04-01,1
4,3,2021-04-01,1
4,4,2021-04-01,1
4,5,2021-04-01,1
5,1,2021-04-01,5
5,2,2021-04-01,5
6,1,2021-04-01,2
7,1,2021-04-01,5
7,2,2021-04-01,5
7,3,2021-04-01,5
8,1,2021-04-01,2
8,2,2021-04-01,2
8,3,2021-04-01,2
9,1,2021-04-01,5
9,2,2021-04-01,5
9,3,2021-04-01,5
9,4,2021-04-01,5
10,1,2021-04-01,3
